22.86667 +34.50000 And
 5.88333 +28.50000 Tau  Aur
 5.88333 +28.00000 Tau  Aur
 5.88333 +22.83333 Tau  Gem
 5.70000 +22.83333 Tau  Ori
 5.70000 +18.00000 Tau  Ori
 5.76667 +18.00000 Tau  Ori
 5.76667 +12.50000 Tau  Ori
 5.60000 +12.50000 Tau  Ori
 5.60000 +15.50000 Tau  Ori
 5.33333 +15.50000 Tau  Ori
 5.33333 +16.00000 Tau  Ori
 4.96667 +16.00000 Tau  Ori
 4.96667 +15.50000 Tau  Ori
 4.61667 +15.50000 Tau  Ori
 4.61667 -00.00000 Tau  Ori
 3.58333 -00.00000 Tau  Eri
 3.58333 -01.75000 Tau  Eri
 3.28333 -01.75000 Tau  Eri
20.33333 -57.00000 Tel
18.00000 -57.00000 Tel  Pav
18.00000 -45.50000 Tel  Ara
19.16667 -45.50000 Tel  Cra
20.33333 -45.50000 Tel  Sgr
20.33333 -57.00000 Tel  Ind
 1.66667 +25.00000 Tri
 1.66667 +28.00000 Tri  Psc
 1.40833 +28.00000 Tri  Psc
 1.40833 +33.00000 Tri  Psc
 1.40833 +35.00000 Tri  And
 2.00000 +35.00000 Tri  And
 2.00000 +36.75000 Tri  And
 2.51667 +36.75000 Tri  And
 2.56667 +36.75000 Tri  Per
 2.56667 +34.00000 Tri  Per
 2.71667 +34.00000 Tri  Per
 2.71667 +30.66667 Tri  Per
 2.41667 +30.66667 Tri  Ari
 2.41667 +27.25000 Tri  Ari
 1.91667 +27.25000 Tri  Ari
 1.91667 +25.00000 Tri  Ari
 1.66667 +25.00000 Tri  Ari
14.75000 -70.00000 TrA
14.75000 -67.50000 TrA  Cir
14.91667 -67.50000 TrA  Cir
14.91667 -63.58333 TrA  Cir
15.16667 -63.58333 TrA  Cir
15.16667 -61.00000 TrA  Cir
15.33333 -61.00000 TrA  Cir
15.33333 -60.00000 TrA  Cir
16.42083 -60.00000 TrA  Nor
16.42083 -61.00000 TrA  Ara
16.58333 -61.00000 TrA  Ara
16.58333 -63.58333 TrA  Ara
16.75000 -63.58333 TrA  Ara
16.75000 -65.00000 TrA  Ara
16.83333 -65.00000 TrA  Ara
16.83333 -67.50000 TrA  Ara
17.00000 -67.50000 TrA  Ara
17.00000 -70.00000 TrA  Aps
14.75000 -70.00000 TrA  Aps
23.33333 -75.00000 Tuc
23.33333 -67.50000 Tuc  Ind
22.00000 -67.50000 Tuc  Ind
22.00000 -57.00000 Tuc  Ind
23.33333 -57.00000 Tuc  Gru
23.33333 -58.50000 Tuc  Phe
 1.33333 -58.50000 Tuc  Phe
 1.33333 -76.00000 Tuc  Hyi
 0.75000 -76.00000 Tuc  Hyi
 0.75000 -75.00000 Tuc  Hyi
 0.00000 -75.00000 Tuc  Hyi
23.33333 -75.00000 Tuc  Oct
 9.58333 +42.00000 UMa
 9.16667 +42.00000 UMa  Lyn
 9.16667 +47.00000 UMa  Lyn
 8.41667 +47.00000 UMa  Lyn
 8.41667 +60.00000 UMa  Lyn
 7.96667 +60.00000 UMa  Lyn
 7.96667 +73.50000 UMa  Cam
 9.16667 +73.50000 UMa  Cam
11.33333 +73.50000 UMa  Dra
11.33333 +66.50000 UMa  Dra
12.00000 +66.50000 UMa  Dra
12.00000 +64.00000 UMa  Dra
13.50000 +64.00000 UMa  Dra
13.50000 +63.00000 UMa  Dra
14.41667 +63.00000 UMa  Dra
14.41667 +55.50000 UMa  Dra
14.03333 +55.50000 UMa  Boo
14.03333 +48.50000 UMa  Boo
13.50000 +48.50000 UMa  CVn
13.50000 +53.00000 UMa  CVn
12.08333 +53.00000 UMa  CVn
12.08333 +45.00000 UMa  CVn
12.00000 +45.00000 UMa  CVn
12.00000 +34.00000 UMa  CVn
12.00000 +29.00000 UMa  Com
11.86667 +29.00000 UMa  Com
11.00000 +29.00000 UMa  Leo
11.00000 +34.00000 UMa  LMi
10.78333 +34.00000 UMa  LMi
10.78333 +40.00000 UMa  LMi
10.16667 +40.00000 UMa  LMi
10.16667 +42.00000 UMa  LMi
 9.58333 +42.00000 UMa  LMi
13.00000 +77.00000 UMi
13.58333 +77.00000 UMi  Cam
13.58333 +80.00000 UMi  Cam
14.50000 +80.00000 UMi  Cam
14.50000 +86.50000 UMi  Cam
 8.00000 +86.50000 UMi  Cam
 8.00000 +88.00000 UMi  Cep
23.00000 +88.00000 UMi  Cep
23.00000 +86.16666 UMi  Cep
21.00000 +86.16666 UMi  Cep
21.00000 +86.00000 UMi  Cep
18.00000 +86.00000 UMi  Dra
18.00000 +80.00000 UMi  Dra
17.50000 +80.00000 UMi  Dra
17.50000 +75.00000 UMi  Dra
16.53333 +75.00000 UMi  Dra
16.53333 +70.00000 UMi  Dra
15.66667 +70.00000 UMi  Dra
15.66667 +66.00000 UMi  Dra
14.00000 +66.00000 UMi  Dra
14.00000 +70.00000 UMi  Dra
13.00000 +70.00000 UMi  Dra
13.00000 +77.00000 UMi  Dra
11.00000 -56.50000 Vel
 8.83333 -56.50000 Vel  Car
 8.83333 -54.50000 Vel  Car
 8.45000 -54.50000 Vel  Car
 8.45000 -53.00000 Vel  Car
 8.16667 -53.00000 Vel  Car
 8.16667 -50.75000 Vel  Car
 8.00000 -50.75000 Vel  Car
 8.00000 -43.00000 Vel  Pup
 8.36667 -43.00000 Vel  Pup
 8.36667 -36.75000 Vel  Pup
 9.36667 -36.75000 Vel  Pyx
 9.36667 -39.75000 Vel  Ant
11.00000 -39.75000 Vel  Ant
11.00000 -56.50000 Vel  Cen
11.51667 -00.00000 Vir
11.51667 +11.00000 Vir  Leo
11.86667 +11.00000 Vir  Leo
11.86667 +14.00000 Vir  Leo
12.83333 +14.00000 Vir  Com
12.83333 +15.00000 Vir  Com
13.50000 +15.00000 Vir  Com
13.50000 +08.00000 Vir  Boo
15.08333 +08.00000 Vir  Boo
15.08333 -00.00000 Vir  Ser1
14.66667 -00.00000 Vir  Lib
14.66667 -08.00000 Vir  Lib
14.25000 -08.00000 Vir  Lib
14.25000 -22.00000 Vir  Lib
12.83333 -22.00000 Vir  Hya
12.83333 -11.00000 Vir  Crv
11.83333 -11.00000 Vir  Crv
11.83333 -06.00000 Vir  Crt
11.51667 -06.00000 Vir  Crt
11.51667 -00.00000 Vir  Leo
 6.58333 -64.00000 Vol
 6.83333 -64.00000 Vol  Pic
 9.03333 -64.00000 Vol  Car
 9.03333 -75.00000 Vol  Car
 7.66667 -75.00000 Vol  Cha
 6.58333 -75.00000 Vol  Men
 6.58333 -70.00000 Vol  Men
 6.58333 -64.00000 Vol  Dor
18.86667 +21.08333 Vul
18.86667 +25.50000 Vul  Her
19.25833 +25.50000 Vul  Lyr
19.25833 +27.50000 Vul  Lyr
19.66667 +27.50000 Vul  Cyg
19.66667 +29.00000 Vul  Cyg
20.91667 +29.00000 Vul  Cyg
20.91667 +28.00000 Vul  Cyg
21.41667 +28.00000 Vul  Cyg
21.41667 +23.50000 Vul  Peg
21.25000 +23.50000 Vul  Peg
21.25000 +19.50000 Vul  Peg
21.05000 +19.50000 Vul  Peg
20.56667 +19.50000 Vul  Del
20.56667 +20.50000 Vul  Del
20.25000 +20.50000 Vul  Del
20.25000 +21.25000 Vul  Sge
19.83333 +21.25000 Vul  Sge
19.83333 +19.16667 Vul  Sge
19.25000 +19.16667 Vul  Sge
19.25000 +21.08333 Vul  Sge
18.86667 +21.08333 Vul  Sge
